iter	Passed	Remaining
1603	82505	20369
1604	82546	20315
1605	82580	20259
1606	82636	20209
1607	82678	20155
1608	82717	20101
1609	82761	20047
1610	82801	19993
1611	82841	19939
1612	82868	19882
1613	82906	19827
1614	82946	19773
1615	82989	19720
1616	83028	19665
1617	83075	19613
1618	83109	19558
1619	83154	19505
1620	83183	19448
1621	83220	19394
1622	83256	19339
1623	83285	19282
1624	83326	19229
1625	83364	19174
1626	83407	19121
1627	83448	19068
1628	83485	19013
1629	83525	18959
1630	83564	18905
1631	83587	18848
1632	83624	18793
1633	83645	18735
1634	83684	18681
1635	83736	18630
1636	83790	18580
1637	83832	18527
1638	83866	18472
1639	83905	18418
1640	83943	18364
1641	83981	18310
1642	84023	18256
1643	84070	18205
1644	84109	18151
1645	84145	18096
1646	84185	18043
1647	84227	17990
1648	84249	17932
1649	84288	17879
1650	84321	17824
1651	84356	17769
1652	84378	17712
1653	84419	17659
1654	84463	17607
1655	84513	17555
1656	84533	17498
1657	84568	17444
1658	84612	17391
1659	84636	17335
